series,observation,knowable_from,last_probe_without_it,probes,days_from_the_observation_label,rows_digest_when_absent,rows_digest_when_present
GDPC1,2015-01-01,2015-04-29,2015-04-28,11,118,8e28d0d7807fcb9b3d802ca3734fe6f8d9749702d5499a10f362ad5f5d38e47f,b3540ff7908e5a9aacf7dde7d734a29e56d7dbc4b78cfb38773c34b43ee5feb4
GDPC1,2015-04-01,2015-07-30,2015-07-29,11,120,aff860d83ef3ec14d89df1b9a2b46242b77072f8ea0d4337efe9783c1d0038ff,306f4eef6255049771153f2db5598f0ce796bb5d26dd882c0bd66d4e1fefd96f
GDPC1,2015-07-01,2015-10-29,2015-10-28,11,120,8b5b59c981fc9b482f14764b3b2e37511d6c71144ad5b3e3870a1c0a89094fdf,d177386bebf2ba9723b05190a15a1c625929c6767c5186ce5bd97a2ff7b4f59f
GDPC1,2015-10-01,2016-01-29,2016-01-28,11,120,6693c117a0df48ec6920f0054c9bcf325bb6c6508f5b98df89cac3c41e7d51c9,32fa1a9623283798796495198e7f6c9d8ef4e299a51315881608d947ff1ab055
GDPC1,2016-01-01,2016-04-28,2016-04-27,11,118,e7d21175ae5b16deb30d87f72806214599f1b8379db1953fa9dc49ecce203262,88ecaa19615e3ded54d6f887d98945b3f1366224af099410a76fdadcfaaefa0f
GDPC1,2016-04-01,2016-07-29,2016-07-28,10,119,cde394bcecce71a3ba242494699d157face19d0b3856eb4a5237be8cd0d815d1,a8cdb3defa1e852b0bb77d6c80e6990644ff9743f6773c4e3663044919e69cbc
GDPC1,2016-07-01,2016-10-28,2016-10-27,10,119,5499fad0f2e9ae4dd1f6d93d0f138b3ef14895ec7ac114b1297b92e08bf424f9,fd6ae3894038f55a2541995888ac6a306d15919338631155069901c21c06764e
GDPC1,2016-10-01,2017-01-27,2017-01-26,11,118,0b320dc051308b267dbbaa53c2a4174d5a26679df40359b760d92007444535af,d370545bd299792cd8f88985e521efa917e4acd01a47fe6164bdd074a273bede
GDPC1,2017-01-01,2017-04-28,2017-04-27,11,117,7367bd73c9bc17e4f9a7456128b4edd4b148e71f0cfe69c283f5a9cd40bdea65,71d4c251e249fd1905055b19cb2304366ccf270b9ec83cf1e29bd6fcb30b5d5d
GDPC1,2017-04-01,2017-07-28,2017-07-27,11,118,8c2d3a472de33099569168536c707dfd602a1b89413967d6989c34685ded103e,7b8900299b610761519eb5cf9cb4b1420735a84d7d154f0397df2b81b5235297
GDPC1,2017-07-01,2017-10-27,2017-10-26,11,118,c3f4c69797c080a480462ea8b33522d43f033ede53e7bbb8172f8b145f6bb808,910f79b7a0adc70f596545bd9537fbf4438ea7385451cd36b29ba458468f0904
GDPC1,2017-10-01,2018-01-26,2018-01-25,11,117,c38a30ec3717db2c34e3f127728a3f40812215ee845d40a5cff92a3433a247ad,e75c1dab82cf3872e59730d34b77c9e69b3b0a11d3f19f2f210974aa53a3540f
GDPC1,2018-01-01,2018-04-27,2018-04-26,10,116,1022fd40d8bf231a5d6890287a186d8f95a1fb97cbbc92ffa7a9ee7479d0916a,f9bd7e38cd5df9c0d644f7c92b5d9f121402e799ce9537ec4f4d8acad14f19a1
GDPC1,2018-04-01,2018-07-27,2018-07-26,11,117,b37a508cc041d2e22fafd260e413fbf4ef181dedb9a218033a7eda84c447ec9b,298681d3e2a1a70f9d817c377952297248411c1efd25ecaf13d228f7b7b490ab
GDPC1,2018-07-01,2018-10-26,2018-10-25,11,117,32718d19c3c81bd3128afd1f92ba28e9aaa44f9acc7a89caf8c2fdf72e11e9c9,4f0c74070b54b1747c84344789e831ed98c1d280ac59ca964a3c3c253dbd0674
GDPC1,2018-10-01,2019-02-28,2019-02-27,11,150,a8f5a2343c9605ec10879639cb538d12c4580aa7c485bbdc4656e61f078f7e1d,97097380c9ae2008c843b335cf4d7af3e2687c8a9b6fc747cfbe8d7d36674b02
GDPC1,2019-01-01,2019-04-26,2019-04-25,11,115,eca5b5acf3e5160332f81e12883e2a10338bec23d34f5fbbbec169cc0fd4c4cc,fc703d25bb370703a5c1e7c68f2f2d97d50a52e15828038c8c90365d6e645129
GDPC1,2019-04-01,2019-07-26,2019-07-25,10,116,afd3cc731e3c7552b0e87454d70260bdeedb32fe25f64ba13ebccefabc65e90c,5820ada18fe6a855e27e3b532e62020ae0873fbffcbf73e5a8e9ebdbcee61e5f
GDPC1,2019-07-01,2019-10-30,2019-10-29,11,121,3661a4116eeef2ba653101795cae20a665c112a84f5e5f6dbb5730b8ad38533d,0ff867396f628f97a30fe7a145c125e2931013c9b7e4342d440a475c4b92a2e9
GDPC1,2019-10-01,2020-01-30,2020-01-29,11,121,5066a3aefebdd24c545e755a50021556dd39489c66e8d6498c7b87b80a329291,30f1e63cfd17196d120274ee30da47ad57cc5392e4a2266101ade4104407711c
GDPC1,2020-01-01,2020-04-29,2020-04-28,10,119,c5805092e486bd5a4b5db07ec0ad7802dee39451485be7c36ea03bff58fcfea7,5b2a403810c4149c45f8556e6186be2fa6655cb64331c477a0f091fdc471e346
GDPC1,2020-04-01,2020-07-30,2020-07-29,11,120,74af4753cc464580c582f6f4e6da58295b4c60d798b75b46066cafd126613994,7558e9f9cc6a6e067f8b91c5c9e4468ec1d442dd5c6bd5c4201c52b38d37b87a
GDPC1,2020-07-01,2020-10-29,2020-10-28,11,120,bbf813034b5d97bf4bf1ae646c31773673dc0e2618679da8d245ea03fde4f90d,f87596638146c7e58de6cc878fdbdbec53ff59b9b5606f39c5c037e278f30662
GDPC1,2020-10-01,2021-01-28,2021-01-27,10,119,0249d6c413967a40e1332a1498f61e99a9f9e4f337ee7533ab2112ac897c1726,dcaad24720fbc4e3768973a97abb7d47fa0f12aab0af62819897343274c7aaa0
GDPC1,2021-01-01,2021-04-29,2021-04-28,11,118,d6b53530f425bc2f64f4a838aceec35399a20f9d0521c6e5ae2e9571d1b3bfc7,a7eba61bc46722c2da9057bf78c0dcd8405a5ad58524e5dae9a33222b1df9c9b
GDPC1,2021-04-01,2021-07-29,2021-07-28,10,119,68edc0749116a37d1793556d3c2df6a2ad12d3347d10578747ce9f437e4e3ccc,55cdcfab8a719fac619fd1b39bc624ea0b35f7119a1319845c94b353c476e1bd
GDPC1,2021-07-01,2021-10-28,2021-10-27,10,119,4c68715d2c3f82638a8eb1d814490d83ced037e78ab52ad67ce759420cbf64e4,db07469e355c1d659d2edece91aa48de41ebe5afd844c9ba3283c7c7e81d2cad
GDPC1,2021-10-01,2022-01-27,2022-01-26,11,118,e8f5db3fed56bcb5c6f145073fa0cc0aa6e480182d08889fe1bf2fe7698024a8,31f6ab1d20a8cd52da900faa7d919bc20c6e283daffe2ec46e50b64186606041
GDPC1,2022-01-01,2022-04-28,2022-04-27,11,117,0c4b308e5ac53951c317d7f14b566124da1f6baf4e4883fcc5afbaca8cef4156,461616d37cefefff9337cb3ffd1fde4526a2ce458694a0edb50de0bb895bc1ed
GDPC1,2022-04-01,2022-07-28,2022-07-27,11,118,c80a37feb412f27079117ad2aa767424ceddac84e1be6b86360b262f449180e5,21c126c3d6492074f5ac842a82d0ecfcf857bce6d32a7d5e1779f2ea0460bd9d
GDPC1,2022-07-01,2022-10-27,2022-10-26,11,118,0f5e8b2fa8e9024c1821d5284e643ae901d6e864cafc1e57556b84e2b583c3de,5d26f92bc52eb7c1f9d930b5050f18e1df27324c6b6d9e60149a6d6f2279b538
GDPC1,2022-10-01,2023-01-26,2023-01-25,11,117,89b3e1823a33133e7773acc966f7052205964c2430686168d2aef2ac11ab92ce,37ce70c7d7affb6a15aef83b20eadf7f94d7225bd3bb2b488f7635f535fe2795
GDPC1,2023-01-01,2023-04-27,2023-04-26,10,116,9902afc7414a96957de8caaf6303b9d561a4744290e852d99be78d7a3b85cc0b,3e4fa94b399bd83136187dcbd80b2a0bdc76539212e72c45c0685b95a8ad85b8
GDPC1,2023-04-01,2023-07-27,2023-07-26,11,117,5e21b4c64f43b4570cb8c0ea50b83d925298de89f63b3f66f3fa4d6bbfba91fc,87bfaef21afbde1cdbdf631ec3884fe58949dbf743da19ee3c03acec12336a3d
GDPC1,2023-07-01,2023-10-26,2023-10-25,11,117,11d1fa5125a661b5f47561a58d34b407748b9857ddaad47f419cdb76bfbc8468,07164d0a7c0ede447a393072ca46e305f75703353fef12ff96f4526053347c1a
GDPC1,2023-10-01,2024-01-25,2024-01-24,10,116,c9344237869a7f879ed6ddd971b936636953380dd2a5285c138c9db34ddf85e5,f39029d8f326befa7da918bf107dd6ceba0223d39d1716a3685e42942dfba7d1
GDPC1,2024-01-01,2024-04-25,2024-04-24,11,115,ffe99a1d1357df4cfaa946d53cf8a58278da6eb25980468acf883eed459afab9,ed6e150bce419da9aa3203d255ee9bedd3fccd28f654d418ae043c0a12afa959
